the_geom_x,the_geom_webmercator_x,objectid_x,dc_key,location_x,point_x_x,point_y_x,lat_x,lng_x,the_geom_y,the_geom_webmercator_y,objectid_y,location_y,point_x_y,point_y_y,lat_y,lng_y
0101000020E61000000FA958EB7ACA52C077DE422E23FE4340,0101000020110F00009A7E2BA915EB5FC1C9F81DFCD48D5241,16859590,202422091536.0,1800 BLOCK W DIAMOND ST 2ND FL,-75.1637524,39.98544863,39.98544863,-75.1637524,0101000020E61000000F99343E7ACA52C015F2730928FE4340,0101000020110F0000359D128314EB5FC18957215EDA8D5241,24715516,1800 BLOCK W DIAMOND ST,-75.16371112,39.98559683,39.98559683,-75.16371112
0101000020E61000000FA958EB7ACA52C077DE422E23FE4340,0101000020110F00009A7E2BA915EB5FC1C9F81DFCD48D5241,16859590,202422091536.0,1800 BLOCK W DIAMOND ST 2ND FL,-75.1637524,39.98544863,39.98544863,-75.1637524,0101000020E61000000F99343E7ACA52C015F2730928FE4340,0101000020110F0000359D128314EB5FC18957215EDA8D5241,24715517,1800 BLOCK W DIAMOND ST,-75.16371112,39.98559683,39.98559683,-75.16371112
0101000020E61000002C00D75F80C652C0EE0912DB5D054440,0101000020110F0000449F4A8F53E45FC15B9C4535D9955241,16859614,202502002962.0,582A ROSALIE ST,-75.10158535,40.04192675,40.04192675,-75.10158535,0101000020E6100000D6F37F5880C652C0F45E4A975D054440,0101000020110F0000A5DED28253E45FC18E4A14EAD8955241,24687657,500 BLOCK ROSALIE ST,-75.1015836,40.04191867,40.04191867,-75.1015836
0101000020E61000002C186C5558C552C0D1782288F3024440,0101000020110F0000B4566FB45CE25FC1A7A7405B2B935241,16859618,202515002841.0,5000 BLOCK AKRON ST,-75.08351646,40.023057,40.023057,-75.08351646,0101000020E6100000B04B5CE055C552C061694372F0024440,0101000020110F00000909E98758E25FC152923DEF27935241,24449252,5000 BLOCK AKRON ST,-75.08336648,40.02296284,40.02296284,-75.08336648
0101000020E6100000F673D046AAC752C02A1344FE15034440,0101000020110F00006BB6A0934DE65FC15FF7939351935241,16863854,202525000052.0,300 BLOCK E ROCKLAND ST,-75.11976786,40.02410868,40.02410868,-75.11976786,0101000020E6100000D9AA6E3FAAC752C030687CBA15034440,0101000020110F0000B9B816874DE65FC1CAAC674851935241,24136232,300 BLOCK E ROCKLAND ST,-75.1197661,40.0241006,40.0241006,-75.1197661
0101000020E610000020B4FDAF23CE52C045AF0E9955F84340,0101000020110F0000673414DB4CF15FC1B0E36CD766875241,16864511,202512004388.0,1400 BLOCK S 53RD ST,-75.22092819,39.94011224,39.94011224,-75.22092819,0101000020E6100000AE0074D21ACE52C0137407F34FF84340,0101000020110F0000AB590ACC3DF15FC15609A59560875241,24626492,1400 BLOCK S 53RD ST,-75.22038709,39.93993986,39.93993986,-75.22038709
0101000020E6100000B6732F6A56C452C06C4DA901B9014440,0101000020110F00003D62879AA6E05FC1AD84EC8DCE915241,16864512,202515003249.0,2100 BLOCK KENNEDY ST,-75.06777434,40.01345845,40.01345845,-75.06777434,0101000020E610000035D4282459C452C00705E784B7014440,0101000020110F0000D4AE1B3CABE05FC11D2FB3E7CC915241,24479652,2100 BLOCK KENNEDY ST,-75.06794075,40.01341306,40.01341306,-75.06794075
0101000020E610000060EB8CCE3DCB52C033B2F9F261FF4340,0101000020110F00002E8E66B260EC5FC1918D0759368F5241,16864513,202522001623.0,2600 BLOCK N 27TH ST,-75.17564739,39.99517667,39.99517667,-75.17564739,0101000020E61000006506438040CB52C074C46BA862FF4340,0101000020110F00006FDAF14565EC5FC1E7512E22378F5241,24715662,2600 BLOCK N 27TH ST,-75.17581183,39.99519831,39.9951983,-75.17581183
0101000020E6100000050893A0C7C852C08C7049C4CA004440,0101000020110F00002C04FF4532E85FC1EF725262C6905241,16864514,202525003722.0,3600 BLOCK N 5TH ST,-75.13718428,40.00618795,40.00618795,-75.13718428,0101000020E61000008359159FCAC852C0922D814ACB004440,0101000020110F0000FA29FD5B37E85FC136F523F7C6905241,24626498,3600 BLOCK N 5TH ST,-75.13736703,40.00620395,40.00620395,-75.13736703
0101000020E6100000A9CFFED59DC952C06FF4ADE6EBF74340,0101000020110F0000FCBBDF209EE95FC102A43EC3F1865241,16862960,202503001667.0,900 BLOCK S 4TH ST,-75.15025854,39.93688663,39.93688663,-75.15025854,0101000020E61000008C069DCE9DC952C0933C11A3EBF74340,0101000020110F000049BE55149EE95FC1F1785A78F1865241,24568560,900 BLOCK S 4TH ST,-75.15025678,39.93687857,39.93687857,-75.15025678
0101000020E61000001CE990C4E0CE52C0594B4385D1F64340,0101000020110F000080D81E078EF25FC117833600B9855241,16862961,202512004042.0,6100 BLOCK YOKUM ST,-75.23246874,39.92826906,39.92826906,-75.23246874,0101000020E6100000E02C04BDE0CE52C07D93A641D1F64340,0101000020110F00007BE64BFA8DF25FC1ECC154B5B8855241,24687516,2100 BLOCK CEMETERY AV,-75.23246694,39.928261,39.928261,-75.23246694
0101000020E6100000052D878A6FC952C0037F95CF34084440,0101000020110F000029D0F67D4FE95FC187E922CCFF985241,16862962,202514004546.0,7200 BLOCK N 19TH ST,-75.14743293,40.06411166,40.06411166,-75.14743293,0101000020E610000057E883656CC952C0F6ECB94C4D084440,0101000020110F0000E4A491264AE95FC14A8B33F91A995241,24656584,N 19TH ST & ELSTON ST,-75.147241,40.064859,40.064859,-75.147241
0101000020E610000099AD699C95CD52C04BC26C9FE1FB4340,0101000020110F000017154B865BF05FC157370EE0548B5241,16862963,202516001469.0,4400 BLOCK PARRISH ST,-75.21225653,39.96782296,39.96782296,-75.21225653,0101000020E6100000EC6AF29495CD52C0E090BA5BE1FB4340,0101000020110F00003C9D9C795BF05FC1AD930995548B5241,24479771,4400 BLOCK PARRISH ST,-75.21225475,39.96781489,39.96781489,-75.21225475
0101000020E61000005BFCF9F83CCB52C0CFDD2A5F82FF4340,0101000020110F0000BFAD9F475FEC5FC1AD00BA4A5A8F5241,16862964,202522002520.0,2600 BLOCK N 27TH ST,-75.17559647,39.99616613,39.99616613,-75.17559647,0101000020E61000005BFCF9F83CCB52C0CFDD2A5F82FF4340,0101000020110F0000BFAD9F475FEC5FC1AD00BA4A5A8F5241,24715334,2600 BLOCK N 27TH ST,-75.17559647,39.99616613,39.99616613,-75.17559647
0101000020E6100000B2ED386E86CB52C045294266BEFE4340,0101000020110F00003EE8390EDCEC5FC11177E00A818E5241,16863816,202422094189.0,2900 BLOCK W FLETCHER ST,-75.18007999,39.99018553,39.99018553,-75.18007999,,,24039329,N 29TH ST  & EDGLEY ST,,,,
0101000020E6100000C3D223BAA5C052C024793228E8104440,0101000020110F0000262CE0F461DA5FC13D4A4CC6A8A25241,16862987,202507000303.0,13600 BLOCK PHILMONT AVE,-75.01011518,40.13208487,40.13208487,-75.01011518,0101000020E61000007AFEB4519DC052C087DF4DB7EC104440,0101000020110F0000C772C0AC53DA5FC1BE1CC3D6ADA25241,24173018,13600 BLOCK PHILMONT AV 2,-75.009602,40.132224,40.132224,-75.009602
0101000020E6100000805E7EC817CC52C050CA415C7B054440,0101000020110F00005AC89DF3D2ED5FC1FB0990F0F9955241,16862998,202514000528.0,300 BLOCK W UPSAL ST,-75.18895161,40.04282716,40.04282716,-75.18895161,0101000020E6100000BAD8B45208CC52C0AB048BC399054440,0101000020110F0000DEA0EAB0B8ED5FC1032B3CAB1B965241,24298629,300 BLOCK W UPSAL ST,-75.188008,40.043755,40.043755,-75.188008
0101000020E6100000841A9506C4CC52C07FE8175F93FA4340,0101000020110F00004701DD85F7EE5FC191B3A87FE2895241,16862999,202516001388.0,0 BLOCK N 39TH ST,-75.19946446,39.95762242,39.95762242,-75.19946446,0101000020E6100000C167D243C0CC52C05E851067B0FA4340,0101000020110F000030848422F1EE5FC12D814DAA028A5241,24474490,0 BLOCK N 39TH ST,-75.19923492,39.95850838,39.95850838,-75.19923492
0101000020E6100000D8B34A5D30C852C08708CDE8A6024440,0101000020110F000099A69A5631E75FC1601A1861D6925241,16862814,202525002813.0,4600 BLOCK PALETHORP ST,-75.12795193,40.02071867,40.02071867,-75.12795193,0101000020E6100000CE8814FB32C852C057FBA676A7024440,0101000020110F0000DE9E4EC835E75FC13CFB68FED6925241,24504669,4600 BLOCK PALETHORP ST,-75.12811162,40.02073558,40.02073558,-75.12811162
0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,16861482,202524004250.0,800 BLOCK E ALLEGHENY AVE,-75.11534483,39.99666849,39.99666849,-75.11534483,0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,24709123,800 BLOCK E ALLEGHENY AV,-75.11534483,39.99666849,39.99666849,-75.11534483
0101000020E6100000F6C8303854C752C000FF942A51034440,0101000020110F0000F2816566BBE55FC11F58693493935241,16861484,202525002815.0,5000 BLOCK RORER ST,-75.11451535,40.0259145,40.0259145,-75.11451535,0101000020E6100000F6C8303854C752C000FF942A51034440,0101000020110F0000F2816566BBE55FC11F58693493935241,24715499,5000 BLOCK RORER ST,-75.11451535,40.0259145,40.0259145,-75.11451535
0101000020E610000050C28EF7D1C452C0A912446140024440,0101000020110F00000554337878E15FC14D6EBCAC64925241,16861492,202515000310.0,1800 BLOCK WAKELING ST,-75.07531537,40.01758972,40.01758972,-75.07531537,,,24714930,1800 BLOCK WAKELNG ST,,,,
0101000020E6100000D938ACBAD8C952C0D07B841669FF4340,0101000020110F00007BAD202A02EA5FC13FE00D433E8F5241,16861533,202525002574.0,2700 BLOCK N BROAD ST,-75.1538531,39.99539453,39.99539453,-75.1538531,0101000020E6100000F3B23FB3D8C952C0D6D0BCD268FF4340,0101000020110F0000B172841D02EA5FC1A8ADE9F73D8F5241,24418665,2700 BLOCK N BROAD ST,-75.15385133,39.99538645,39.99538645,-75.15385133
0101000020E61000000F99343E7ACA52C015F2730928FE4340,0101000020110F0000359D128314EB5FC18957215EDA8D5241,16861171,202422091536.0,1800 BLOCK W DIAMOND ST,-75.16371112,39.98559683,39.98559683,-75.16371112,0101000020E61000000F99343E7ACA52C015F2730928FE4340,0101000020110F0000359D128314EB5FC18957215EDA8D5241,24715516,1800 BLOCK W DIAMOND ST,-75.16371112,39.98559683,39.98559683,-75.16371112
0101000020E61000000F99343E7ACA52C015F2730928FE4340,0101000020110F0000359D128314EB5FC18957215EDA8D5241,16861171,202422091536.0,1800 BLOCK W DIAMOND ST,-75.16371112,39.98559683,39.98559683,-75.16371112,0101000020E61000000F99343E7ACA52C015F2730928FE4340,0101000020110F0000359D128314EB5FC18957215EDA8D5241,24715517,1800 BLOCK W DIAMOND ST,-75.16371112,39.98559683,39.98559683,-75.16371112
0101000020E6100000B0221FCB6DCE52C0680035D67AF74340,0101000020110F0000D30974BBCAF15FC102786D8774865241,16861636,202512003688.0,2100 BLOCK S 58TH ST,-75.22545126,39.93343618,39.93343618,-75.22545126,0101000020E61000006D95580070CE52C04692E6B077F74340,0101000020110F0000FE368B7BCEF15FC163C2770B71865241,24715570,2100 BLOCK S 58TH ST,-75.22558602,39.93334018,39.93334018,-75.22558602
0101000020E610000095536DFD15C552C0222BA66FA5034440,0101000020110F0000D4F66803ECE15FC13C6EA2ABF0935241,16861642,202515001303.0,5400 BLOCK OAKLAND ST,-75.07946716,40.02848621,40.02848621,-75.07946716,0101000020E6100000070421F615C552C09A06C92BA5034440,0101000020110F0000497303F7EBE15FC1F2155D60F0935241,24504632,5400 BLOCK OAKLAND ST,-75.07946542,40.02847812,40.02847812,-75.07946542
0101000020E61000002B451B1532CE52C043C57A9BE5FA4340,0101000020110F0000C2509E4E65F15FC18524099E3D8A5241,16861643,202516000780.0,0 BLOCK N FARSON ST,-75.22180679,39.96013207,39.96013206,-75.22180679,0101000020E6100000B745990D32CE52C0670DDE57E5FA4340,0101000020110F0000D29BDD4165F15FC15C751E533D8A5241,24360985,0 BLOCK N Farson St,-75.221805,39.960124,39.960124,-75.221805
0101000020E6100000C8CB3F9F2DCF52C06E69B95C92FA4340,0101000020110F0000DBB58C9210F35FC18C216361E1895241,16861644,202518001878.0,200 BLOCK S SCECIL ST,-75.23715955,39.95759162,39.95759162,-75.23715955,0101000020E610000054CCBD972DCF52C092B11C1992FA4340,0101000020110F0000EB00CC8510F35FC1CA287916E1895241,24595953,200 BLOCK S CECIL ST,-75.23715776,39.95758356,39.95758356,-75.23715776
0101000020E610000088E06EFF40CB52C0F3929C9FA4FF4340,0101000020110F00007D3EF51D66EC5FC158B9AD43808F5241,16861645,202539001193.0,2700 BLOCK W STERNER ST,-75.17584215,39.99721141,39.99721141,-75.17584215,,,24714931,3700 BLOCK W STERNER ST,,,,
0101000020E6100000207795DE0CCA52C07EDB1B957E014440,0101000020110F000002D9E5BA5AEA5FC12B5BCCC48D915241,16861646,202539002672.0,1700 BLOCK W BUTLER ST,-75.15703549,40.01167549,40.01167549,-75.15703549,0101000020E6100000358883420CCA52C0DBBAA31883014440,0101000020110F00004F12CCB159EA5FC103C222C692915241,24597477,1700 BLOCK W BUTLER ST,-75.15699828,40.01181324,40.01181324,-75.15699828
0101000020E6100000EDBC2AA3D3CF52C092A2DF081CFD4340,0101000020110F0000A9C7EF902AF45FC1D54B9151B18C5241,16862205,202519000703.0,800 BLOCK WYNNEWOOD RD,-75.24729232,39.97741805,39.97741805,-75.24729232,0101000020E61000004DAAAE2AD8CF52C02213B6C01AFD4340,0101000020110F0000F7787D4232F45FC1DF26DCE5AF8C5241,24534578,800 BLOCK WYNNEWOOD RD,-75.24756877,39.97737894,39.97737893,-75.24756877
