the_geom,the_geom_webmercator,objectid,dc_key,location_block,point_x,point_y,lat,lng
0101000020E610000010D3D75660CE52C0A91543C5FAF54340,0101000020110F000083E2FFE0B3F15FC13AFF172CCB845241,24642983,202512004415.0,2700 BLOCK S 63RD ST,-75.22463008,39.92171541,39.92171541,-75.22463008
0101000020E610000029D1ED80C6C852C0104028F754024440,0101000020110F00003ECC665D30E85FC1B61BE8807B925241,24580703,202525002670.0,4300 BLOCK N MARSHALL ST,-75.1371157,40.01821794,40.01821794,-75.1371157
0101000020E6100000E29E3A98C5CA52C04813733973FD4340,0101000020110F00008F691E8194EB5FC15A164FF4118D5241,24698477,202522004715.0,2000 BLOCK CECIL B MOORE AV,-75.16831022,39.98007887,39.98007887,-75.16831022
0101000020E610000055715FDE8ECD52C0077AA86D43FC4340,0101000020110F000032D1701250F05FC1BDBA0C43C18B5241,24245179,202516000345.0,900 BLOCK BELMONT AV,-75.21184501,39.97080775,39.97080775,-75.21184501
0101000020E61000001487018559CA52C0435B295F2B034440,0101000020110F00005E6F8EEDDCEA5FC1C2BD744969935241,24491756,202539003120.0,4600 BLOCK GREENE ST,-75.16171384,40.0247611,40.0247611,-75.16171384
0101000020E6100000B2DADBB141C952C00C0DDD4FBA044440,0101000020110F00006EE60C9E01E95FC150C7FCC823955241,24698482,202535004985.0,5500 BLOCK OLD YORK RD,-75.14463469,40.03693579,40.03693579,-75.14463469
0101000020E6100000415CBDB3CBCE52C016BF089E6BFC4340,0101000020110F000045BBDC3E6AF25FC15A27D3CCED8B5241,24492066,202519001669.0,1200 BLOCK N 55TH ST,-75.23118299,39.97203422,39.97203422,-75.23118299
0101000020E610000050A0F42A97CB52C060705156A1FD4340,0101000020110F00009CD5467CF8EC5FC161767B10458D5241,24245535,202522000108.0,2800 BLOCK CECIL B MOORE AV,-75.18110155,39.98148612,39.98148612,-75.18110155
0101000020E610000040826600FDC852C016676F9D3D014440,0101000020110F00001E3661EF8CE85FC1E353A9BA45915241,24396320,202525001760.0,700 BLOCK W BUTLER ST,-75.14044199,40.00969284,40.00969284,-75.14044199
0101000020E6100000F79EA1EA9DC652C08AD517F0CF004440,0101000020110F0000683074BD85E45FC1D054231ECC905241,24639376,202524005002.0,3900 BLOCK L ST,-75.10338846,40.00634576,40.00634576,-75.10338846
0101000020E6100000685B0F57F5C652C0DEAFC05F65024440,0101000020110F00003332DD3C1AE55FC1B27D4BB38D925241,24639378,202524005567.0,4600 BLOCK H ST,-75.10872436,40.01871869,40.01871869,-75.10872437
0101000020E6100000C3802557B1C552C05C76887FD8064440,0101000020110F0000D0CB47E4F3E25FC13968CC4B7D975241,24371860,202502000203.0,6800 BLOCK BINGHAM ST A6,-75.088949,40.053482,40.053482,-75.088949
0101000020E610000027D8C1B9ADCD52C09A7D1EA3BCFB4340,0101000020110F00001D08577C84F05FC1B9A9BCE32B8B5241,24456121,202516001808.0,800 BLOCK N 46TH ST,-75.21372837,39.96669425,39.96669425,-75.21372837
0101000020E6100000BFDDABB990C452C01E213D24000A4440,0101000020110F0000CDAD5DA609E15FC11A1EB094FD9A5241,24488060,202507000975.0,800 BLOCK STRAHLE ST,-75.07133333,40.07812932,40.07812932,-75.07133333
0101000020E6100000892650C422CB52C03C2EAA4544F54340,0101000020110F00000DAA48C432EC5FC11346401401845241,24371874,202501000232.0,1500 BLOCK W MOYAMENSING AV 1,-75.173997,39.916146,39.916146,-75.173997
0101000020E61000004955A8A859CA52C0F1A28E1264F94340,0101000020110F0000893B1D2ADDEA5FC1FA65AF7792885241,24456409,202509004265.0,1200 BLOCK SAINT JAMES ST,-75.16172234,39.94836647,39.94836647,-75.16172234
0101000020E61000001034D1AD78C352C0039B31D47A034440,0101000020110F00009C9389F62DDF5FC142FCCA69C1935241,24372190,202515001636.0,4200 BLOCK HELLERMAN ST,-75.05424066,40.02718595,40.02718594,-75.05424066
0101000020E6100000F03B9F645FCA52C03B34D18C6AFE4340,0101000020110F0000637B99E7E6EA5FC132576018248E5241,24699966,202522001041.0,2200 BLOCK N BOUVIER ST,-75.16207233,39.98762665,39.98762665,-75.16207233
0101000020E6100000C8CD154ACBC152C09B215514AF0F4440,0101000020110F0000FF5F049A54DC5FC1858A89054DA15241,24372195,202507000327.0,11700 BLOCK LOCKART RD,-75.0280328,40.1225305,40.1225305,-75.0280328
0101000020E6100000E95233D604C952C0DB7A3CE331004440,0101000020110F00004ED76E3E9AE85FC1BDD94BE11C905241,24153501,202525000060.0,3200 BLOCK N MARSHALL ST,-75.14092021,40.00152246,40.00152245,-75.14092021
0101000020E6100000E57BA94C2FCB52C07F4864C42A084440,0101000020110F00006DC6FC0D48EC5FC1A347D3A6F4985241,24607096,202514004021.0,800 BLOCK DORSET ST,-75.17476193,40.06380515,40.06380515,-75.17476193
0101000020E6100000D49DE581A1C452C0DDA90C250B004440,0101000020110F000080FAEF2726E15FC126E405EDF18F5241,24397495,202515000163.0,2600 BLOCK LEFEVRE ST,-75.07235763,40.00034011,40.00034011,-75.07235763
0101000020E610000039F32701DCC752C0B08E25A49C024440,0101000020110F00009FF3640BA2E65FC1DB51DFFDCA925241,24700248,202525002912.0,4600 BLOCK A ST,-75.12280301,40.02040531,40.02040531,-75.12280301
0101000020E610000039CAC9DD8AC552C0E2C6B11E0C054440,0101000020110F00005382278AB2E25FC10EE4F0887E955241,24640252,202502002231.0,6000 BLOCK SUMMERDALE AV,-75.08660073,40.03943237,40.03943237,-75.08660073
0101000020E6100000BEAE152301CC52C06E18E4B27AFA4340,0101000020110F00002446227CACED5FC113B35F29C7895241,24217689,202516000472.0,100 BLOCK N 32ND ST,-75.1875694,39.95686947,39.95686947,-75.1875694
0101000020E61000009947BC444ECA52C0622C78761E094440,0101000020110F0000F88920D1C9EA5FC1222CB619039A5241,24217692,202514000817.0,2500 BLOCK 78th Ave,-75.16102713,40.07124216,40.07124215,-75.16102713
0101000020E6100000F26E349914C952C00882D79988014440,0101000020110F00001E3B4B04B5E85FC14633C4E098915241,24700251,202525004314.0,3900 BLOCK N 9TH ST,-75.14188223,40.01198123,40.01198123,-75.14188223
0101000020E6100000AE1CEFC837C852C0ED8CE71A83024440,0101000020110F0000BD6B56F13DE75FC174C304ACAE925241,24488918,202525002818.0,4500 BLOCK PALETHORP ST,-75.12840484,40.01962601,40.01962601,-75.12840484
0101000020E61000001AAC51727BC352C0A16CE3B27E044440,0101000020110F0000BDC2FFA932DF5FC1A6B878A8E1945241,24700553,202515001640.0,3100 BLOCK GLENVIEW ST,-75.05440958,40.03511654,40.03511654,-75.05440958
0101000020E61000000B7282FC0DCE52C09D3C7661B5FB4340,0101000020110F000043DB88FE27F15FC164FD30D9238B5241,24700560,202516003300.0,4900 BLOCK RENO ST,-75.21960366,39.9664728,39.9664728,-75.21960366
0101000020E61000003E8BEFD598C952C01343B44E43084440,0101000020110F0000ED5890A295E95FC1CF6A79E20F995241,24242403,202514001139.0,1900 BLOCK PLYMOUTH ST,-75.14995335,40.06455406,40.06455406,-75.14995335
0101000020E6100000F5A1EADB72CA52C032E4B76C9DFF4340,0101000020110F0000700C3AF807EB5FC164C99448788F5241,24304566,202539001173.0,2800 BLOCK N OPAL ST,-75.16326044,39.99699172,39.99699172,-75.16326044
